nom,commune1,anneelivraison
Rue du 4 Août 1789,Villeurbanne,2012
Place Général Leclerc,Lyon 6e Arrondissement,2012
Rue du 4 Août 1789,Villeurbanne,2011
Boulevard Pinel,Bron,2019
Quai Jayr,Lyon 9e Arrondissement,2013
Quai André Lassagne,Lyon 1er Arrondissement,2011
Avenue Garibaldi,Vaulx-en-Velin,2015
Rue Jean Carries,Lyon 5e Arrondissement,2017
Quai Jean Moulin,Lyon 1er Arrondissement,2011
Boulevard Pinel,Bron,2012
Boulevard des Belges,Lyon 6e Arrondissement,2017
Cours d'Herbouville,Lyon 4e Arrondissement,2018
Boulevard Edouard Michelet,Lyon 8e Arrondissement,2019
Estacade Manufacture des Tabacs,Lyon 8e Arrondissement,2013
Avenue du Docteur Georges Lévy,Vénissieux,0
Rue Général Mouton-Duvernet,Lyon 3e Arrondissement,2013
Rue Marius Berliet,Lyon 8e Arrondissement,2013
Place d'Arsonval,Lyon 3e Arrondissement,0
Chemin de la Péronière,Poleymieux-au-Mont-d'Or,2021
Route de Vernaison,Irigny,0
Rue de la Part-Dieu,Lyon 3e Arrondissement,2005
Quai Lamartine,Fontaines-sur-Saône,0
Quai Général de Gaulle,Albigny-sur-Saône,0
Rue du Progrès,Saint-Priest,2018
Avenue Général de Gaulle,Champagne-au-Mont-d'Or,2020
Avenue Camille Rousset,Bron,2018
Pont Koenig,Lyon 9e Arrondissement,0
Quai Général de Gaulle,Albigny-sur-Saône,0
Route de Strasbourg,Caluire-et-Cuire,2021
Route de Chasse,Feyzin,0
Boulevard des Canuts,Lyon 4e Arrondissement,2014
Boulevard Edmond Michelet,Lyon 8e Arrondissement,2019
Avenue du Chater,Francheville,2020
Rue Professeur Weill,Lyon 6e Arrondissement,2018
Rue Raoul Servant,Lyon 7e Arrondissement,2001
Rue de la Doua,Villeurbanne,2013
Avenue Viviani,Vénissieux,2018
Chemin du Machet,Décines-Charpieu,2021
Rye Georges Lyvet,Vénissieux,2016
Avenue du Chater,Francheville,2019
Avenue de Bohlen,Vaulx-en-Velin,2015
Avenue Henri Barbusse,Albigny-sur-Saône,0
Rue Albert Ferrus,Mions,2010
Quai de la Gare d'Eau,Lyon 9e Arrondissement,2014
RD306,Limonest,2020
Place Maréchal Lyautey,Lyon 6e Arrondissement,2020
Pont Schuman,Lyon 9e Arrondissement,2014
Rue de Savoie,Corbas,0
Rue de Condé,Lyon 2e Arrondissement,2009
Rue Stéphane Déchant,La Mulatière,2020
Route Départementale 51,Quincieux,0
Rue Bellecombe,Villeurbanne,2001
Avenue Jean Jaurès,Décines-Charpieu,0
Carrefour Roosevelt / Pinel,Bron,2019
Quai André Lassagne,Lyon 1er Arrondissement,2011
Rue Louis Blériot,Rillieux-la-Pape,2020
Berges du Rhône,Caluire-et-Cuire,2006
Cours Lafayette,Lyon 3e Arrondissement,2017
Rue de la République,Oullins,2015
Route de Lyon,Vernaison,0
RD306,Limonest,2020
Rue Général Mouton Duvernet,Lyon 3e Arrondissement,2013
Carrefour des Sept Chemins,Décines-Charpieu,2021
Rue Pierre Baratin,Villeurbanne,2020
Rue du Moulin à Vent,Vénissieux,2019
Avenue Jean Jaurès,Oullins,2020
Voie Romaine,Craponne,0
Route de Grenoble,Saint-Priest,0
Avenue de Grande Bretagne,Lyon 6e Arrondissement,2018
Rue Masaryk,Lyon 9e Arrondissement,2014
Passerelle Puisoz,Vénissieux,2019
Pont de la Guillotière,Lyon 7e Arrondissement,1998
LEA,Décines-Charpieu,2006
Rue Paul Duvivier,Lyon 7e Arrondissement,0
Boulevard Charle de Gaulle,Décines-Charpieu,0
Rue Jacques Monod,Lyon 7e Arrondissement,2016
Rue Marcel Mérieux,Corbas,2008
Route de Mions,Saint-Priest,0
Avenue de l'Europe,Rillieux-la-Pape,2003
Rue Denfert Rochereau,Lyon 4e Arrondissement,2005
Chemin de Saint Bonnet de Mure,Saint-Priest,2019
Avenue Paul Dailly,Sainte-Foy-lès-Lyon,2021
Rue Edmond Rostand,Saint-Priest,0
Route de Brignais,Saint-Genis-Laval,0
Avenue Jean Jaurès,Oullins,2019
Avenue Pierre Mendès France,Bron,0
Promenade des Iles,Décines-Charpieu,2010
Rue de l'Ecoran,Couzon-au-Mont-d'Or,2021
Rue Marcel Mérieux,Lyon 7e Arrondissement,2021
Chemin des Moulins,Saint-Genis-Laval,2012
Quai Romain Rolland,Lyon 5e Arrondissement,2013
Piste cyclable le long du Rhône,Solaize,0
Axe Vert Campus de la Doua,Villeurbanne,2014
Rue Juliette Recamier,Lyon 6e Arrondissement,2021
Place Bourgneuf,Lyon 9e Arrondissement,2017
ZAC des Maisons Neuves,Villeurbanne,2019
Avenue Jean Colomb,Marcy-l'Étoile,2022
Rue des Jonchères,Genay,2022
Avenue de la Première Division Française Libre,Lyon 5e Arrondissement,2021
LEA,Décines-Charpieu,2006
Rue du Bochu,Francheville,2021
Boulevard John-Fitzgerald Kennedy,Oullins,2009
Rue du Château des Marres,Jonage,0
Rue de l'Aviation,Saint-Priest,2014
Rue Louis Pradel,Saint-Genis-les-Ollières,2013
Avenue du Carreau,Meyzieu,2011
Boulevard du Général de Gaulle,Oullins,2017
Montée des Forts,Caluire-et-Cuire,2020
Allée de Ceinture,Lyon 6e Arrondissement,2009
Rue Joséphine Soulary,Lyon 4e Arrondissement,2017
Chemin Jean-Marie Vianney,Écully,0
Chemin de la Brochetière,Dardilly,2022
Rue Fénelon,Lyon 6e Arrondissement,2019
Passage sous M6/M7,Lyon 2e Arrondissement,2018
Route départementale 51,Quincieux,2013
Avenue Georges Clémenceau,Saint-Genis-Laval,2003
Rue André Lassagne,Caluire-et-Cuire,2023
Rue Barrême,Lyon 6e Arrondissement,2020
Rond-Point du Pérollier,Écully,2020
Rue Collères,Corbas,0
Chemin des Flaches,Irigny,2018
Route de Trévoux,Neuville-sur-Saône,2011
Rue de la Convention,Oullins,2020
Promenade du Biezin,Décines-Charpieu,2015
Rue de Darcieux,Saint-Genis-Laval,2007
Boulevard des Belges,Lyon 6e Arrondissement,2017
Goulotte Piscine du Rhône,Lyon 7e Arrondissement,2019
Rue des Allobroges,Corbas,0
Routes d'Ecully et de Verdun,Dardilly,2008
Rue Bugeaud,Lyon 6e Arrondissement,2021
Rue Guilloux,Saint-Genis-Laval,2004
Rue Sala,Lyon 2e Arrondissement,2016
Rue Docteur Albéric Pont,Lyon 5e Arrondissement,2018
Quai Rambaud,Lyon 2e Arrondissement,0
Passage Etienne Dolet,Corbas,2009
Rue Jean-Sébastien Bach,Vénissieux,2014
Rue du Dauphiné,Lyon 3e Arrondissement,0
Rue Lieutenant André Gérard,Saint-Cyr-au-Mont-d'Or,2021
Rue de l'Egalité,Saint-Genis-Laval,2022
Boulevard Louis Pradel,Jonage,2011
Avenue de l'Europe,Rillieux-la-Pape,2009
Sans dénomination,Marcy-l'Étoile,0
Rue de Sèze,Lyon 6e Arrondissement,2018
Rue de la Mairie,Champagne-au-Mont-d'Or,2021
Avenue d'Ecully,Lyon 9e Arrondissement,0
Avenue de Verdun,Écully,2018
Avenue Lacassagne,Lyon 3e Arrondissement,2019
Rue Auguste Blanqui,Vaulx-en-Velin,2017
Rue Jean Gabin,Saint-Priest,2019
Rue du Prado,Fontaines-Saint-Martin,2021
Rue de la Paix,Givors,2008
Chemin de Grave,Saint-Cyr-au-Mont-d'Or,2022
Route de Trévoux,Genay,2011
Route de Villefranche,Curis-au-Mont-d'Or,0
Rue Romain Rolland,Bron,0
Rue André Sentuc,Vénissieux,2016
Chemin du Trouillat,Écully,0
Rue de la République,Neuville-sur-Saône,2018
Rue du 11 novembre,Saint-Genis-Laval,2015
Montée Barthélémy,Lyon 5e Arrondissement,2017
Avenue des Nations,Rillieux-la-Pape,2004
Chemin de Lorette,Saint-Genis-Laval,2018
Chemin du Champ du Roy,Rillieux-la-Pape,2013
Rue du Chariot d'Or,Lyon 4e Arrondissement,2017
Chemin des Gorges,Albigny-sur-Saône,0
Mail des San Priots,Saint-Priest,2014
Route de Lyon,Chassieu,2004
Rue André Chénier,Vaulx-en-Velin,2017
Rue Elie Rochette,Lyon 7e Arrondissement,2021
Liaison LEA/Krüger,Villeurbanne,2016
Allée Jean Moulin,Feyzin,0
Giratoire Paix / A47,Givors,2008
Rue Villeroy,Lyon 3e Arrondissement,2016
Place de Verdun,Neuville-sur-Saône,2019
Rue Gambetta,Saint-Priest,2022
Avenue des Frères Montgolfier,Chassieu,2011
Rue de la Mairie,Saint-Genis-les-Ollières,2011
Rond point Charly/Vourles,Irigny,0
Rue du Guillot,Saint-Genis-les-Ollières,2022
Route de Strasbourg,Rillieux-la-Pape,2020
Avenue Roger Salengro,Villeurbanne,2011
Route de Genas,Bron,2016
Avenue Francklin Roosevelt,Décines-Charpieu,2002
Brosset-Ampère,Rillieux-la-Pape,2000
Place des Maisons Neuves,Villeurbanne,2011
Boulevard Pinel,Lyon 8e Arrondissement,2021
Avenue Jean Cagne,Vénissieux,2009
Avenue des Sources,Écully,0
Avenue des Alpes,Marcy-l'Étoile,2014
Chemin du Recanton,Charly,2015
Rue du Vercors,Corbas,2013
Avenue d'Oschatz,Vénissieux,2009
Quai Joseph Gillet,Lyon 4e Arrondissement,2014
Boulevard Emile Bollaërt,Bron,0
Montée Georges Lyvet,Couzon-au-Mont-d'Or,2021
Chemin Jean-Marie Vianney,Écully,0
Rue Richan,Lyon 4e Arrondissement,2017
Rampe Maréchal Industrie,Vénissieux,0
Rue Bodin,Lyon 1er Arrondissement,2016
Allée du Gerbier,Saint-Fons,2020
Rue Anatole France,Saint-Priest,2016
Avenue Francis de Pressensé,Vénissieux,2011
Avenue de l'Europe,Feyzin,2018
Chemin de la Mansion,Tassin-la-Demi-Lune,2011
Avenue Louis Armand,Saint-Germain-au-Mont-d'Or,0
Rue Voltaire,Pierre-Bénite,2009
Allée du Lac,Lyon 6e Arrondissement,2009
Avenue du 8 mai 1945,Tassin-la-Demi-Lune,2011
Chemin du Gabugy,Vaulx-en-Velin,2012
Voie verte parallèle au Bd des Hespérides,Tassin-la-Demi-Lune,0
Route des Prolières,Cailloux-sur-Fontaines,0
Allée de l'Ile,Lyon 6e Arrondissement,2009
Parc Blandan,Lyon 7e Arrondissement,2013
Rue Michel Servet,Décines-Charpieu,2015
Rue Eugène Montagnier,Saint-Didier-au-Mont-d'Or,2022
Rue Garibaldi,Lyon 3e Arrondissement,2020
Avenue C Cité Berliet,Saint-Priest,2008
Rue Marc-Antoine Petit,Lyon 2e Arrondissement,2016
Rue Maisiat,Lyon 1er Arrondissement,2016
Liaison Rue Joliot Curie - Rue 23 août 1944,Mions,2022
Route de Lyon,Saint-Priest,0
Chemin du Chancelier,Écully,2018
Quai Général de Gaulle,Albigny-sur-Saône,0
Rue Curie,Neuville-sur-Saône,2019
Rue Chevreul,Lyon 7e Arrondissement,2021
Place d'Arsonval,Lyon 3e Arrondissement,2020
Cours Vitton,Lyon 6e Arrondissement,2020
Berges du Rhône,Caluire-et-Cuire,2006
Chemin de la Vernique,Écully,0
Rue Marc Riboud,Saint-Genis-Laval,2016
Rue du Vieux Chateau,Francheville,2020
Boulevard Marius Vivier Merle,Lyon 3e Arrondissement,2015
Rue des Collières,Saint-Priest,0
Avenue Général Leclerc,Caluire-et-Cuire,2020
Av Gaston Berger (nord),Villeurbanne,2009
Avenue de Verdun,Meyzieu,2021
Route de Strasbourg,Rillieux-la-Pape,2020
LEA,Lyon 3e Arrondissement,2006
Avenue Jean Jaurès,Décines-Charpieu,0
Route de Vourles,Saint-Genis-Laval,2020
Rue Lucie Guimet,Neuville-sur-Saône,2019
Rue Ornano,Lyon 1er Arrondissement,2016
Rue des Trois Pierres,Lyon 7e Arrondissement,2021
Rue Bossuet,Lyon 6e Arrondissement,2020
Giratoire de Sermenaz,Rillieux-la-Pape,2009
Rue de la Selette,Irigny,0
Voie verte Feyssine/Cité internationale,Lyon 6e Arrondissement,0
Chemin des Fonts,Sainte-Foy-lès-Lyon,2019
Rue Jean-Claude Bartet,Champagne-au-Mont-d'Or,2021
Rue Charny,Villeurbanne,2015
Montée des Soldats,Caluire-et-Cuire,2020
Avenue Rockfeller,Lyon 3e Arrondissement,0
Chemin du Charbonnier,Saint-Priest,2013
Route des Crêtes,Saint-Cyr-au-Mont-d'Or,2022
Rue Vaubecourt,Lyon 2e Arrondissement,2014
Rue des Collières,Mions,0
Rue Louis,Lyon 3e Arrondissement,2019
Rue Marino Simonetti,Décines-Charpieu,0
Avenue Général Eisenhower,Lyon 5e Arrondissement,2015
Avenue Viviani,Vénissieux,2002
Rue de Savoie,Corbas,0
Cours du troisième Millénaire,Saint-Priest,0
Rue Saint Maximin,Lyon 3e Arrondissement,2020
Rue André Sabatier,Grigny,0
Parc Miribel,Vaulx-en-Velin,0
Rue Juliette Récamier,Lyon 6e Arrondissement,2021
Rue Lamartine,Vaulx-en-Velin,2022
Rampe du Pont de Lattre de Tassigny,Lyon 1er Arrondissement,2013
Berges du Rhône,Lyon 3e Arrondissement,2007
Avenue de Gadagne,Saint-Genis-Laval,2004
Rue de la Viabert,Lyon 6e Arrondissement,2011
Avenue Général Leclerc,Rillieux-la-Pape,2001
Rue du Rhône,Lyon 7e Arrondissement,2016
Rue Dominique Vincent,Champagne-au-Mont-d'Or,2020
Route de Grenoble,Saint-Priest,0
Rue Rachais,Lyon 7e Arrondissement,2021
Allée Achille Lignon,Lyon 6e Arrondissement,2006
Chemin Vert,Charly,2017
Avenue Jean Moulin,Pierre-Bénite,2019
Quai Saint Vincent,Lyon 1er Arrondissement,2020
Chemin de Halage,Jonage,2015
Passerelle Modes Doux Décines,Décines-Charpieu,2013
Rue Docteur Edmond Locard,Lyon 5e Arrondissement,2018
Rue de la Cordière,Saint-Priest,0
Rue Docteur Horand,Lyon 9e Arrondissement,2014
Rue des Martyrs,Saint-Genis-Laval,2005
Avenue Rosa Parks,Lyon 9e Arrondissement,2012
Chemin du Cruy,Poleymieux-au-Mont-d'Or,2021
Route de Villefranche,Curis-au-Mont-d'Or,0
Rue de la Poudrette,Vaulx-en-Velin,2014
Rue Descartes,Saint-Priest,2018
Avenue d'Orcha,Vaulx-en-Velin,0
Liaison Bohr-Bonnevay,Villeurbanne,2020
Avenue de Verdun,Écully,2021
Allée CLEA,Villeurbanne,2015
Rue Paul Chevrel,Saint-Didier-au-Mont-d'Or,2022
Rue Léon Blum,Villeurbanne,2018
Rue de Marseille,Meyzieu,0
Rue Henri Moissan,Pierre-Bénite,2021
Place Victor Hugo,Neuville-sur-Saône,2019
Avenue du Carreau,Meyzieu,0
Rue Frédéric Faÿs,Villeurbanne,2018
Rue Villeroy,Lyon 3e Arrondissement,2018
Avenue Jean Jaurès,Saint-Fons,2018
Avenue Thiers,Lyon 6e Arrondissement,2014
Chemin des Prés,Sainte-Foy-lès-Lyon,2020
Passerelle de la Paix,Caluire-et-Cuire,2014
Chemin du Repos,Charly,2017
Rue du Bon Pasteur,Lyon 1er Arrondissement,2010
Parc Miribel,Décines-Charpieu,0
Rue de Créqui,Lyon 3e Arrondissement,2020
Rue Victor Lagrange,Lyon 7e Arrondissement,2019
Rue Pierre Sémard,Grigny,2009
Route de Vienne,Lyon 7e Arrondissement,2021
Parallèle BUS,Feyzin,0
Rue de l'Aviation,Saint-Priest,0
Allée de l'Equinoxe,Saint-Genis-Laval,2012
Place Sathonay,Lyon 1er Arrondissement,2014
Rue Antoine Bazin,Givors,2016
Rue Louis Reverchon,Couzon-au-Mont-d'Or,2021
Parc Miribel,Vaulx-en-Velin,0
Rue Raulin,Lyon 7e Arrondissement,2019
Rue de l'Aviation,Saint-Priest,0
Rue Garibaldi,Lyon 7e Arrondissement,2020
Avenue du 8 mai 1945,Vaulx-en-Velin,0
Chemin du Raquin,Chassieu,0
Chemin de Calabert,Écully,0
Accès sud Grand Stade,Décines-Charpieu,2015
Route de Chasse,Solaize,0
RN6,Lissieu,0
Voie verte halte d'Yvours,Irigny,2019
Cours Lavoisier,Décines-Charpieu,2019
Boulevard Mermoz,Corbas,2008
Avenue des Taillis,Corbas,2017
Allée des Ormeaux,Lyon 6e Arrondissement,2009
Rue Docteur Edmond Locard,Lyon 5e Arrondissement,2019
Chemin du Champ du Roy,Rillieux-la-Pape,2020
Grande Rue,Sainte-Foy-lès-Lyon,2017
Avenue des Nations,Rillieux-la-Pape,2003
Boulevard de Balmont,Lyon 9e Arrondissement,2011
Avenue Jacques Duclos,Vénissieux,0
Rue Emile Zola,Pierre-Bénite,2012
Anneau Bleu,Meyzieu,2010
Avenue Jean Jaurès,Vénissieux,2018
Rue du Capitaine,Lyon 3e Arrondissement,2019
Rue de la Bastille,Villeurbanne,2019
Rue du 8 Mai 1945,Pierre-Bénite,2016
Rue Bataille,Lyon 8e Arrondissement,2017
Rue Jean-Claude Pieroux,Givors,2016
Rue Jean François Bony,Givors,2016
Rue Saint Pierre de Vaise,Lyon 9e Arrondissement,2021
Chemin de l'Afrique,Chassieu,2018
Paul Marcellin centre,Vaulx-en-Velin,2004
Rue François Vernaton,Saint-Genis-Laval,2017
Rue de la Gare,Vernaison,2017
Rue Jean Jaurès,Meyzieu,0
,Collonges-au-Mont-d'Or,2017
Allée Jean Renoir,Neuville-sur-Saône,2021
Rue Montcharmont,Lyon 2e Arrondissement,2010
Chemin le long de la Rize,Vaulx-en-Velin,2017
Chemin Vert,Saint-Didier-au-Mont-d'Or,2022
Rue Jean Jaurès,Vaulx-en-Velin,2021
Avenue Benoit Barlet,Meyzieu,2018
Boulevard Laurent Gérin,Vénissieux,2017
Rue Marcel Achard,Sainte-Foy-lès-Lyon,0
Boulevard de la Croix-Rousse,Lyon 1er Arrondissement,2013
Avenue de Verdun,Meyzieu,2011
Rue de l'Egalité,Saint-Priest,2001
Avenue Général de Gaulle,Sainte-Foy-lès-Lyon,0
Rue de la République,Meyzieu,2011
Rue Jules Reynaud,Meyzieu,2015
Rue Gaspard Picard,Vénissieux,2017
Avenue Jules Guesde,Vénissieux,0
Rue Ampère,Pierre-Bénite,2022
Rue Montesquieu,Lyon 7e Arrondissement,2019
Montée des Chavannes,Poleymieux-au-Mont-d'Or,2021
Rue du Repos,Lyon 7e Arrondissement,2021
Rue Victor Hugo,Givors,2010
Quai Claude Bernard,Lyon 7e Arrondissement,2018
Route du Mas Rillier,Rillieux-la-Pape,2009
Boulevard Laurent Bonnevay,Villeurbanne,2020
Avenue Viviani,Vénissieux,2002
Avenue Paul Santy,Lyon 8e Arrondissement,2016
Rue Salvador Allende,Mions,2013
Rue Paul Teste,Vaulx-en-Velin,2017
Avenue des Platanes,Décines-Charpieu,2019
Passage sous AM/M7,Lyon 2e Arrondissement,2018
Boulevard Pasteur,Saint-Priest,0
Rue Sergent Michel Berthet (nord),Lyon 9e Arrondissement,2009
Chemin de Halage,Décines-Charpieu,2014
Chemin de Parenty,Neuville-sur-Saône,2021
Rue Louis Aulagne,Oullins,2017
Rue Pierre Dupont,Lyon 1er Arrondissement,2010
Place des Terreaux,Lyon 1er Arrondissement,2022
Avenue de Verdun,Écully,2021
Rue de la Salle des Fêtes,Vernaison,2016
Chemin des Tâches,Meyzieu,2020
Quai St Vincent,Lyon 1er Arrondissement,2020
Rue Georges Clémenceau,Sainte-Foy-lès-Lyon,2022
Rue de la Quarantaine,Lyon 5e Arrondissement,2017
Rue Gambetta,Saint-Fons,2019
Montée des Fruitiers,Grigny,2014
Rue Joannès Drevet,Lyon 2e Arrondissement,2016
Rue Claude Farrère,Saint-Priest,0
Rue Pierre Sémard,Grigny,0
Avenue Jean Mermoz,Lyon 8e Arrondissement,2019
Route de Vienne,Lyon 8e Arrondissement,2015
Rue du Père Chevrier,Fontaines-Saint-Martin,2021
Boulevard du Valvert,Écully,0
Rue Professeur Paul Bonnet,Saint-Genis-Laval,2020
Place Jules Ferry,Lyon 6e Arrondissement,2021
Rue de la Selette,Irigny,0
Boulevard de l'Europe,Pierre-Bénite,2009
RD306,Limonest,2020
Rue Elisée Reclus,Décines-Charpieu,2014
Avenue Ferdinand Buisson,Bron,0
Rue de la Liberté,Mions,2012
Rue du 24 mars 1852,Lyon 9e Arrondissement,2018
Rue du Cortelet,Sathonay-Village,2022
Place Charles Dufraine,Lyon 3e Arrondissement,2019
Avenue Albert Einstein,Villeurbanne,2021
Chemin de Pommier,Meyzieu,0
Rue Nicolas Sicard,Lyon 5e Arrondissement,2013
Rue de Montagny,Lyon 8e Arrondissement,2020
Route de Chaponost,Sainte-Foy-lès-Lyon,2008
Rue du Dauphiné,Saint-Priest,0
Boulevard Ambroise Croizat,Vénissieux,2009
Avenue René Cassin,Lyon 9e Arrondissement,2017
Rue des Sports,Villeurbanne,2021
Carrefour Vénissieux,Vénissieux,0
Rue Gambetta,Neuville-sur-Saône,2021
Rue Marion,Vernaison,2016
Rue Cavenne,Lyon 7e Arrondissement,2019
Route du Puy d'Or,Limonest,0
Rue de la Selette,Irigny,0
Avenue Marc Sangnier,Villeurbanne,0
Rue Emile Zola,Décines-Charpieu,0
Rue Molière,Lyon 3e Arrondissement,2018
Rue Denfert-Rochereau,Lyon 4e Arrondissement,2010
Rue Victor Hugo,Meyzieu,2012
Rue Saint Didier,Meyzieu,2017
Rue Rochon,Couzon-au-Mont-d'Or,2021
Avenue des Nations,Rillieux-la-Pape,2004
Cours Suchet,Lyon 2e Arrondissement,2018
Avenue Gabriel Peri,Corbas,0
Chemin des Romanettes,Corbas,0
Rue Pierre Termier,Lyon 9e Arrondissement,2017
Rue des Trois Pierres,Lyon 7e Arrondissement,2021
Chemin de la Raude,Tassin-la-Demi-Lune,2013
Chemin de Beaunant,Saint-Genis-Laval,2021
Allée Henri Fermigier,Saint-Genis-Laval,2017
Rue du Brulet,Sainte-Foy-lès-Lyon,2020
Avenue Eugénie Cotton,Vaulx-en-Velin,2008
Rue Jacquard,Lyon 4e Arrondissement,2008
Porte de Croix-Luizet,Villeurbanne,0
Rue Antoine Charial,Lyon 3e Arrondissement,2015
Chemin d'Yvours,Pierre-Bénite,0
Rue du Lurin,Saint-Germain-au-Mont-d'Or,2021
Route de Saint Abdon,Charly,2021
Rue Pierre Bouvier,Fontaines-sur-Saône,2019
Impasse Jules Reynaud,Meyzieu,2017
Rue du Temps des Cerises,Francheville,2011
Allée des Parcs,Saint-Priest,2014
Rue du Bocage,Lyon 8e Arrondissement,2021
Rue Béchevelin,Lyon 7e Arrondissement,2019
Boulevard Marius Vivier Merle,Lyon 3e Arrondissement,2011
Allée du Pré Fleuri,Lyon 6e Arrondissement,2009
Allée Paul Delorme,Sathonay-Camp,2008
Liaison parc de la Rize,Vaulx-en-Velin,2017
Voie verte,Vénissieux,0
Rue des Frères Emmanuel-Joseph et Louis Amadéo ,Vénissieux,0
Rue Jean Moulin,Saint-Priest,0
Rue Claude Farrère,Lyon 3e Arrondissement,2020
Rue Rabelais,Vénissieux,2017
Boulevard Jules Favre,Lyon 6e Arrondissement,2018
Mail Bouchut,Lyon 3e Arrondissement,2011
Rue Arago,Villeurbanne,2019
Rue Pauline-Marie Jaricot,Lyon 5e Arrondissement,2017
Rue Nungesser et Coli,Corbas,2017
Rue de Jussieu,Lyon 2e Arrondissement,2016
Rue Molière,Neuville-sur-Saône,2020
Berges du Rhône,Lyon 6e Arrondissement,2007
Rue de Savoie,Corbas,0
Rue Vendôme,Lyon 6e Arrondissement,2020
Rue Anatole France,Villeurbanne,2012
Rue Francis Perrat,Grigny,2014
Rue Pasteur,Rillieux-la-Pape,2021
Rue Paul Cézanne,Meyzieu,2021
Montée Castellane,Rillieux-la-Pape,2001
Rue Soeur Bouvier,Sainte-Foy-lès-Lyon,2019
Rue Stella,Lyon 2e Arrondissement,0
Chemin des Combes,Saint-Cyr-au-Mont-d'Or,2021
Rue de la Grande Famille,Lyon 7e Arrondissement,2019
Porte de Croix-Luizet,Villeurbanne,0
Voie Verte Lionel Terray,Jonage,2009
Chemin du Plan du Loup,Sainte-Foy-lès-Lyon,0
Rue Pierre Dupont,Couzon-au-Mont-d'Or,2021
Avenue  Georges Clémenceau,Saint-Genis-Laval,2003
Passerelle des Jardiniers,Vaulx-en-Velin,2017
Chemin des Tâches,Meyzieu,2020
Allée de Cabeiceras de Basto,Neuville-sur-Saône,2019
Rue Clos Poncet,Villeurbanne,2014
Rue Voltaire,Oullins,2015
Avenue  d'Oschatz,Vénissieux,2009
Brosset-Combattants ,Rillieux-la-Pape,2000
Cours de la République,Villeurbanne,2022
Rue Colière,Mions,2018
Place de la Croix-Rousse,Lyon 4e Arrondissement,2017
Boulevard du Raquin,Chassieu,2019
Rue Antoine Billon,Vénissieux,2017
Rue de la Physique,Villeurbanne,2014
Chemin de Halage,Vaulx-en-Velin,2017
Allée du Chalet,Lyon 6e Arrondissement,2009
Rue du 8 mai 1945,Fontaines-sur-Saône,2017
Avenue Marc Sangnier,Villeurbanne,2012
Rue Edgar Varèse,Vénissieux,2017
Rue de la Balme,Feyzin,2018
Accès Chateau de Lacroix-Laval,Marcy-l'Étoile,2021
Route de Vourles,Irigny,2020
Rue Bela Bartok,Vénissieux,2017
Allée Irène Joliot Curie,Saint-Priest,2015
Rue sans Souci,Limonest,2018
Rue Rabelais,Saint-Fons,2009
Rue Creuzet,Lyon 7e Arrondissement,2021
RD386,Grigny,0
Chemin du Gravier Blanc,Meyzieu,0
Rue Raspail,Décines-Charpieu,0
Chemin de la Brocardière,Dardilly,2022
Rue des Sources,Marcy-l'Étoile,2022
Quai Docteur Gailleton,Lyon 2e Arrondissement,2015
Rue des Verriers,Lyon 7e Arrondissement,2019
Rue de la Bourse,Lyon 2e Arrondissement,2010
Quai Antoine Riboud,Lyon 2e Arrondissement,2014
Rue du Colombier,Lyon 7e Arrondissement,2021
Rue des Bains,Lyon 9e Arrondissement,2014
Chemin de Feyzin,Vénissieux,2018
Rue du Plat,Lyon 2e Arrondissement,2014
Rue des Roberdières,Chassieu,2009
Rue de la République,Meyzieu,2020
Allée du Parc du Château,Saint-Priest,2011
Rue Joseph Faure,Givors,2016
Promenade des Tournesols,Décines-Charpieu,0
Rue Eugène Hénaff,Vénissieux,2021
Rue Joseph Faure,Givors,2016
Allée de la Volière,Lyon 6e Arrondissement,2009
Rue du Rambion,Meyzieu,2022
Route de Sain Bel,Tassin-la-Demi-Lune,2001
Rue des Terrasses,Couzon-au-Mont-d'Or,2021
Rue de l'Haye,Saint-Genis-Laval,2005
Avenue Jean Jaurès,Décines-Charpieu,0
Boulevard de l'Europe,Sainte-Foy-lès-Lyon,0
Avenue Henri Barbusse,Neuville-sur-Saône,2017
Rue Boileau,Lyon 6e Arrondissement,2017
Rue de la Paix,Givors,2019
Route de Lyon,Fleurieu-sur-Saône,0
Chemin de l'Orme,Marcy-l'Étoile,2020
Rue de Savoie,Lyon 2e Arrondissement,2016
Avenue Ernest Auboyer,Saint-Genis-Laval,0
Avenue Maréchal de Lattre de Tassigny,Bron,2012
Voie verte Champvert Trion,Lyon 5e Arrondissement,0
Rue Franklin,Vaulx-en-Velin,2017
Rue Raspail,Décines-Charpieu,2009
Chemin de Plantefort,Saint-Didier-au-Mont-d'Or,2022
Rue Marius Gonin,Lyon 5e Arrondissement,2017
Avenue Jean Moulin,Grigny,2018
Route de Strasbourg,Rillieux-la-Pape,2016
Chemin Saint Laurent,Quincieux,0
Chemin de Champlong,Saint-Cyr-au-Mont-d'Or,2020
Passage du Bourg,Meyzieu,2015
Rue Jean Fabre,Lyon 2e Arrondissement,2013
Rue Jean Chirat,Albigny-sur-Saône,2012
Rue Jean-Marie Chavant,Lyon 7e Arrondissement,2015
Rue Monseigneur Lavarenne,Lyon 5e Arrondissement,2017
,Dardilly,2022
Avenue Général de Gaulle,Champagne-au-Mont-d'Or,2020
Quai du Commerce - Sédallian,Lyon 9e Arrondissement,2020
