nom;commune1;insee1;commune2;insee2;reseau;financementac;typeamenagement;typeamenagement2;positionnement;senscirculation;environnement;localisation;typologiepiste;revetementpiste;domanialite;reglementation;zonecirculationapaisee;anneelivraison;longueur;observation;gid
Rue de Francis Pressensé;Saint-Fons;69199;;;Réseau secondaire;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;;125,30;;2486
Rue Francisque Darcieux;Saint-Genis-Laval;69204;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2009;43,92;;1867
Rue Pré Gaudry;Lyon 7e Arrondissement;69387;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2013;182,07;Arrêté N°2012RP28254 du 12/12/2012;1945
Rue Georges Bizet;Décines-Charpieu;69275;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2008;209,91;;2067
Passage Magellan;Lyon 2e Arrondissement;69382;;;Réseau de desserte;PPI (DMOU);Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;82,85;Arrêté N°2016RP32563 du 10/05/2016;2724
Place Antonin Jutard;Lyon 3e Arrondissement;69383;;;Réseau de desserte;PPI DGEEP VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2012;44,48;zone 30;1713
Avenue Paul Marcellin sud;Décines-Charpieu;69275;Vaulx-en-Velin;69256;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2004;239,71;;438
Rue du 8 mai 1945;Meyzieu;69282;;;Réseau de desserte;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;Zone 30;;234,62;;3021
Rue Professeur Sisley;Lyon 3e Arrondissement;69383;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);;2014;306,18;Arrêté N°2013RP29125 du 17/12/2013;2149
Rue de la Fraternité;Villeurbanne;69266;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2015;89,73;;2586
Avenue Général Leclerc;Tassin-la-Demi-Lune;69244;;;Réseau structurant et super structurant;PPI DGEEP VTP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);Zone 30;2008;98,86;;4034
Rue Jean Louis Barrault;Meyzieu;69282;;;Réseau secondaire;OR DIEM/STEP;Voie verte;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;Voie verte;Zone 30;2019;142,47;"ABS de marquage le 09-03-2020 ;";4986
Liaison;Vaulx-en-Velin;69256;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Voie verte;;Sans objet;Double;Parc;Sans objet;;;Métropole;Voie verte;;;17,68;;3437
Chemin de la Molinette;Saint-Genis-Laval;69204;;;Réseau secondaire;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2018;77,10;;4050
Rue du Dauphiné;Lyon 3e Arrondissement;69383;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2013;255,84;Arrêtés N°2013RP29119 et N°2013RP29120 du 17/12/2013;1984
Rue Edouard Vaillant;Saint-Fons;69199;;;Réseau secondaire;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;176,04;Arrêté n°UC 19/043 du 07/06/2019;4824
Rue Tupin;Lyon 2e Arrondissement;69382;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2016;76,00;Zone de rencontre;3204
Rue André Janier;Rillieux-la-Pape;69286;;;Réseau de desserte;PPI (DMOU);Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);;2020;54,91;Arrêté n°M-RLP-2020-8 le 19/05/20;5574
Rue Georges Bizet;Décines-Charpieu;69275;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2008;231,43;;2068
Rue de la République;Oullins;69149;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2015;228,46;Zone 30 // ABS d'amenagement cyclabe au 9-6-22 //;6453
Avenue Eugène Hénaff;Vaulx-en-Velin;69256;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Piste Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;Zone 30;2016;447,11;;2939
Rue Jeanne d'Arc;Tassin-la-Demi-Lune;69244;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2010;355,47;;1560
Rue des Cerisiers;Lyon 3e Arrondissement;69383;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;136,56;Arrêté Zone 30 n°2019RP36023 du 25/07/2019;5051
Quai Saint Vincent;Lyon 1er Arrondissement;69381;;;Réseau structurant et super structurant;OI DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2016;125,84;Arrêtés N°2016RP33202 et 2016RP33203 du 04/11/2016;2887
Rue Docteur Albéric Pont;Lyon 5e Arrondissement;69385;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2018;131,27;Arrêté n°2019RP35563 du 24/04/2019;4817
Avenue Général Eisenhower;Lyon 5e Arrondissement;69385;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Piste Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2021;146,87;Arrêté n°2021RP39864 le 19/10/21;6260
Rue Charles Robin;Villeurbanne;69266;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;119,57;Arrêté n°2018P0240-LP du 12/12/2018;3227
Rue de Sèze;Lyon 6e Arrondissement;69386;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;135,59;Arrêté n°2021RP39779 le 15/12/21;5005
Promenade Lénine;Vaulx-en-Velin;69256;;;Réseau secondaire;OR DIEM/STEP;Voie verte;;Sans objet;Double;Parc;Sans objet;;;Métropole;Voie verte;;2017;174,66;;3402
Rue Bellièvre;Lyon 5e Arrondissement;69385;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;19,47;;3234
Rue Feuillat;Lyon 3e Arrondissement;69383;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2016;238,04;Arrêté N°2016RP32811 du 26/07/2016;2810
Rue Camille;Lyon 3e Arrondissement;69383;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;142,12;Arrêté n°2019RP 36145 du 11/09/2019 et Arrêté Zone 30 n°2019RP36023 du 25/07/2019;5211
Square Janmot;Lyon 2e Arrondissement;69382;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;28,47;Zone 30;3166
Rue Emile Decorps;Villeurbanne;69266;;;Réseau structurant et super structurant;PPI (DMOU);Piste Cyclable;Bande Cyclable;Bilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);;2020;70,71;Arrêté n°2020P0054 le 29/05/20;5644
Cours d'Herbouville;Lyon 4e Arrondissement;69384;;;Réseau structurant et super structurant;OI DIEM/STEP;Couloir bus vélo non élargi;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2018;316,02;;3919
Rue du Repos;Lyon 7e Arrondissement;69387;;;Réseau structurant et super structurant;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2020;117,81;Arrêté n°2021RP39851 et n°2021RP39852 le 08/11/21 - Aménagement cyclable de transition pérennisé;5713
Quai de Charézieux;Saint-Romain-au-Mont-d'Or;69233;;;Réseau structurant et super structurant;OI DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2019;84,81;;5322
Rue de la Gerbe;Lyon 2e Arrondissement;69382;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;89,54;Zone 30;3163
Rue Saint Dié;Lyon 4e Arrondissement;69384;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;75,35;;3355
Passage Ménestrier;Lyon 2e Arrondissement;69382;;;Réseau de desserte;OR DIEM/STEP;Goulotte ou rampe;;Sans objet;Sans Objet;Sans objet;Sans objet;;;Métropole;Sans objet;Aire Piétonne;2015;17,52;Rampe;4008
Avenue Edouard Payen;Écully;69081;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Couloir bus vélo non élargi;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2008;103,33;Zone de rencontre;2676
Rue Isaac;Grigny;69096;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2014;88,22;Zone 30;2312
Rue Couriot;Grigny;69096;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2014;137,87;Zone 30;2311
Rue du Repos;Décines-Charpieu;69275;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;90,43;Arrêté n°21-1003 le 25/06/21/;6239
Rue du Planit;Sainte-Foy-lès-Lyon;69202;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2020;61,91;;6200
Cours du Troisième Millénaire;Saint-Priest;69290;;;Réseau secondaire;PPI (DMOU);Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2009;222,26;;5853
Rue de la République;Meyzieu;69282;;;Réseau secondaire;OR DIEM/STEP;Piste Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;;;;196,98;;478
Rue Sergent Blandan;Lyon 1er Arrondissement;69381;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Aire Piétonne;2010;49,99;zone 30;848
Rue des Pierres Plantées;Lyon 1er Arrondissement;69381;;;Réseau secondaire;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;161,44;;2998
Carrefour Roosevelt / Pinel;Lyon 3e Arrondissement;69383;;;Réseau structurant et super structurant;Sytral;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2019;14,79;;5373
Rue Emile Zola;Décines-Charpieu;69275;;;Réseau secondaire;PPI (DMOU);Piste Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;Zone 30;2005;392,70;;111
Rue de l'Eternité;Lyon 8e Arrondissement;69388;;;Réseau de desserte;PPI (DMOU);Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2015;55,53;;2615
Place du Prado;Lyon 7e Arrondissement;69387;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;59,90;;4653
Rue des Allobroges;Corbas;69273;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;39,52;;1699
Rue Félix;Lyon 3e Arrondissement;69383;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;78,64;Arrêté Zone 30 n°2019RP36023 du 25/07/2019;5075
Berges du Rhône;Lyon 6e Arrondissement;69386;;;Réseau de desserte;OR DIEM/STEP;Voie verte;;Sans objet;Double;Berges - Chemin de halage;Sans objet;Autre;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Voie verte;;2007;91,94;;2842
Rue Charles Peguy;Mions;69283;;;Réseau de desserte;PPI (DMOU);Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2013;137,46;;2133
Rue de l'Angile;Lyon 5e Arrondissement;69385;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;76,87;;3233
Rue Nérard;Lyon 9e Arrondissement;69389;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);;2017;169,51;;3771
Chemin de la Raude;Tassin-la-Demi-Lune;69244;;;Réseau secondaire;OI DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2013;163,38;Arrêté n°2019-214 du 29/08/2019;2023
Rue des Hérideaux;Lyon 8e Arrondissement;69388;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;449,55;;5268
Place des Cordeliers;Lyon 2e Arrondissement;69382;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Piste Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Berges - Chemin de halage;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2017;103,38;;3633
Avenue des Bruyères;Décines-Charpieu;69275;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2004;34,07;;1570
Quai Claude Bernard, angle Avenue Berthelot;Lyon 7e Arrondissement;69387;;;;;Bande Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;Vélo facultatif;;2020;26,10;Arrêté n°2019RP37300 du 14/01/2020;5864
Rue des Myosotis;Vénissieux;69259;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2017;259,99;Arrêté n°19014C du 09/04/2019;3586
Boulevard Louis Pradel;Jonage;69279;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Sans objet;;2010;299,79;;239
Rue de la Poulaillerie;Lyon 2e Arrondissement;69382;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;83,21;Zone 30;3173
Rue Simon Maupin;Lyon 2e Arrondissement;69382;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;52,17;Zone 30;3180
Boulevard Yves Farge;Lyon 7e Arrondissement;69387;;;Réseau secondaire;Sytral;Couloir bus vélo non élargi;Bande Cyclable;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2013;976,37;Arrêté n°2019RP36520 le 20/05/20;25
Rue des Antonins;Villeurbanne;69266;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2011;100,55;;826
Rue Valentin Couturier;Lyon 4e Arrondissement;69384;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;48,86;;3359
Rue Terraille;Lyon 1er Arrondissement;69381;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;111,66;Zone 30;3064
Rue Abbé Papon;Lyon 5e Arrondissement;69385;Tassin-la-Demi-Lune;69244;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2019;181,33;Arrêté n°2018-330 du 21/11/2018;4508
Rue Eugène Pons;Lyon 4e Arrondissement;69384;;;Réseau de desserte;OR DIEM/STEP;Goulotte ou rampe;;Sans objet;Sans Objet;Sans objet;Sans objet;;;Métropole;Sans objet;Zone 30;2017;37,69;Goulotte;4006
Rue Banette et Planchon;Vénissieux;69259;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2017;352,05;Arrêté N°18020C du 02/07/2018;3594
Rue Duguesclin;Lyon 7e Arrondissement;69387;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;164,15;Arrêté n°2021RP39277 le 15/07/21;36
Avenue des Nations;Rillieux-la-Pape;69286;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;;;2003;69,44;;271
Rue de l'Eternité;Lyon 8e Arrondissement;69388;;;Réseau de desserte;PPI (DMOU);Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);Zone 30;2014;118,16;Zone 30;2296
Rue Sully;Lyon 6e Arrondissement;69386;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2020;82,02;;5663
Chemin de Planchamp;Poleymieux-au-Mont-d'Or;69153;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;132,01;Arrêté n°VN-2021-AP-006 le 22/10/21// ABS de marquage 7-02-2022 //;6470
Avenue Pierre Mendès France;Bron;69029;;;Réseau de desserte;Autre MOA (Etat, Syndicat, ...);Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2010;435,53;;745
Rue Edouard Herriot;Saint-Priest;69290;;;Réseau secondaire;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux non liés (sable compacté et stabilisé);Métropole;Vélo facultatif;;;227,44;;649
Rue du 1er mars 1943;Villeurbanne;69266;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2013;215,57;;2093
Prolongement rue d'Athènes;Rillieux-la-Pape;69286;;;Réseau de desserte;PPI (DMOU);Voie verte;;Sans objet;Double;Parc;Sans objet;Autre;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Voie verte;;2009;59,47;;1630
Rue Audibert et Lavirotte;Lyon 8e Arrondissement;69388;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2020;205,73;Arrêté n°2020RP38518 le 23/12/20;6074
Rue de la Cordière;Saint-Priest;69290;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;164,17;;451
Rue de la Charité;Lyon 2e Arrondissement;69382;;;Réseau secondaire;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Parc;Sans objet;;;Métropole;Contresens (sens réservé);Zone 30;2019;535,62;;5942
Rue Victor Jara;Vaulx-en-Velin;69256;Villeurbanne;69266;Réseau secondaire;PPI DGEEP VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2009;274,58;Zone de rencontre (Zone 20);382
Rue Général Pâris de Bollardière;Vénissieux;69259;;;Réseau de desserte;Autre MOA (Etat, Syndicat, ...);Bande Cyclable;;Bilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;;;2019;122,26;;6622
Rue Jean Louis Barrault;Meyzieu;69282;;;Réseau secondaire;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;Zone 30;Zone 30;2005;210,10;;658
Rue Aristide Briand;Couzon-au-Mont-d'Or;69068;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2021;299,41;Arrêté n°2021-078 le 16/06/21 et n°2021-AP005 le 08/11/21;6215
Chemin des Grandes Terres;Corbas;69273;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2019;172,78;Arrêté n°27.2018 du 25/07/2019;4939
Grande Rue;Sainte-Foy-lès-Lyon;69202;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;120,66;;3705
Rue Auguste Comte;Lyon 2e Arrondissement;69382;;;Réseau secondaire;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;632,94;Zone 30;3140
Rue Gutenberg;Lyon 3e Arrondissement;69383;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2018;54,20;;4161
Rue Henri Lafoy;Lyon 9e Arrondissement;69389;;;Réseau de desserte;PPI (DMOU);Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;96,63;Arrêté n°2023RP43963 du 07/09/23;2707
