nom;commune1;insee1;commune2;insee2;reseau;financementac;typeamenagement;typeamenagement2;positionnement;senscirculation;environnement;localisation;typologiepiste;revetementpiste;domanialite;reglementation;zonecirculationapaisee;anneelivraison;longueur;observation;gid
Rue du 8 mai 1945;Meyzieu;69282;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;136,58;;3210
Route de Marennes;Corbas;69273;;;Réseau secondaire;OR DIEM/STEP;Piste Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2016;390,22;;2821
Rue Villon;Lyon 8e Arrondissement;69388;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;245,48;;5264
Rue Fays;Villeurbanne;69266;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2010;416,34;;816
Rue des Pétroles;Saint-Priest;69290;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2020;260,61;;5986
Rue du Canal;Villeurbanne;69266;;;Réseau structurant et super structurant;PPI (DMOU);Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2010;464,79;;664
Avenue des Nations;Rillieux-la-Pape;69286;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2003;125,73;;6139
Avenue Claude Bernard;Villeurbanne;69266;;;Réseau structurant et super structurant;PPI DGEEP VTP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2009;72,63;;1936
Rue des Alouettes;Lyon 8e Arrondissement;69388;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2015;403,35;Arrêté N°2014RP30453 du 18/12/2014;2522
Place Chazette;Lyon 1er Arrondissement;69381;;;Réseau de desserte;PPI DGEEP VTP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2014;24,06;;2357
Rue Aynès;Villeurbanne;69266;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2015;67,05;Zone 30;2539
Rue de l'Aviation;Saint-Priest;69290;;;;;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;77,88;;5854
Chemin du Charréard;Vénissieux;69259;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2017;113,66;;3668
Rue Claude Farrère;Saint-Priest;69290;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;43,66;;6178
Allée du Font Vernay;Marcy-l'Étoile;69127;;;Réseau de desserte;;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2022;198,10;Arrêté N°2022/19 URBA-VOIRIE du 04/02/2022;6614
Avenue de la Gare;Sathonay-Camp;69292;;;Réseau secondaire;PPI DGEEP VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2015;303,60;;2678
Rue Pravaz;Lyon 3e Arrondissement;69383;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2018;89,73;;4112
Rue Antonio Vivaldi;Vénissieux;69259;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2017;142,40;;3662
Route de Marennes;Corbas;69273;;;Réseau structurant et super structurant;Autre MOA (Etat, Syndicat, ...);Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;Vélo facultatif;;2010;75,04;;609
Parc de Gerland;Lyon 7e Arrondissement;69387;;;Réseau de desserte;Autre MOA (Etat, Syndicat, ...);Voie verte;;Sans objet;Double;Parc;Sans objet;;;Commune;Voie verte;;2015;251,37;;4342
Avenue Général Eisenhower;Lyon 5e Arrondissement;69385;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2021;147,83;Arrêté n°2021RP39863 le 19/10/21;6259
Place Gensoul;Lyon 2e Arrondissement;69382;;;Réseau structurant et super structurant;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;Zone 30;2015;36,85;;2666
